Date and Time GMT,Mean wind speed kt,Wind direction,Max wind speed kt
4/1/2023 0:00,14,140,17
4/1/2023 0:15,13,153,16
4/1/2023 0:30,13,146,17
4/1/2023 0:45,13,144,16
4/1/2023 1:00,12,143,15
4/1/2023 1:15,12,135,15
4/1/2023 1:30,11,128,14
4/1/2023 1:45,10,130,13
4/1/2023 2:00,11,127,13
4/1/2023 2:15,11,123,15
4/1/2023 2:30,11,119,14
4/1/2023 2:45,11,122,14
4/1/2023 3:00,12,123,15
4/1/2023 3:15,12,121,15
4/1/2023 3:30,12,122,15
4/1/2023 3:45,12,132,15
4/1/2023 4:00,11,132,14
4/1/2023 4:15,12,131,14
4/1/2023 4:30,11,135,14
4/1/2023 4:45,10,137,12
4/1/2023 5:00,9,138,12
4/1/2023 5:15,8,137,11
4/1/2023 5:30,8,129,10
4/1/2023 5:45,8,121,10
4/1/2023 6:00,7,119,10
4/1/2023 6:15,8,127,10
4/1/2023 6:30,8,124,11
4/1/2023 6:45,8,125,10
4/1/2023 7:00,8,116,9
4/1/2023 7:15,8,113,9
4/1/2023 7:30,7,114,9
4/1/2023 7:45,8,117,9
4/1/2023 8:00,8,108,9
4/1/2023 8:15,8,104,10
4/1/2023 8:30,8,103,10
4/1/2023 8:45,8,106,10
4/1/2023 9:00,9,106,11
4/1/2023 9:15,10,112,12
4/1/2023 9:30,11,120,13
4/1/2023 9:45,11,124,13
4/1/2023 10:00,11,124,14
4/1/2023 10:15,12,128,15
4/1/2023 10:30,12,140,16
4/1/2023 10:45,14,155,16
4/1/2023 11:00,13,158,16
4/1/2023 11:15,12,155,16
4/1/2023 11:30,12,149,15
4/1/2023 11:45,12,150,15
4/1/2023 12:00,12,147,15
4/1/2023 12:15,12,147,16
4/1/2023 12:30,13,147,16
4/1/2023 12:45,12,151,16
4/1/2023 13:00,12,153,15
4/1/2023 13:15,12,151,15
4/1/2023 13:30,11,152,15
4/1/2023 13:45,11,154,14
4/1/2023 14:00,11,152,13
4/1/2023 14:15,10,153,13
4/1/2023 14:30,10,150,13
4/1/2023 14:45,11,149,14
4/1/2023 15:00,10,146,13
4/1/2023 15:15,10,149,12
4/1/2023 15:30,11,148,13
4/1/2023 15:45,11,150,14
4/1/2023 16:00,11,162,14
4/1/2023 16:15,10,162,13
4/1/2023 16:30,10,165,13
4/1/2023 16:45,11,158,15
4/1/2023 17:00,11,156,14
4/1/2023 17:15,10,155,13
4/1/2023 17:30,10,158,13
4/1/2023 17:45,10,163,14
4/1/2023 18:00,10,163,13
4/1/2023 18:15,10,157,13
4/1/2023 18:30,10,162,12
4/1/2023 18:45,10,158,13
4/1/2023 19:00,10,165,13
4/1/2023 19:15,9,165,12
4/1/2023 19:30,10,155,13
4/1/2023 19:45,11,155,15
4/1/2023 20:00,10,160,13
4/1/2023 20:15,10,162,13
4/1/2023 20:30,10,165,14
4/1/2023 20:45,10,167,13
4/1/2023 21:00,10,170,13
4/1/2023 21:15,10,172,14
4/1/2023 21:30,11,165,14
4/1/2023 21:45,11,167,15
4/1/2023 22:00,11,167,15
4/1/2023 22:15,11,166,15
4/1/2023 22:30,11,172,14
4/1/2023 22:45,11,172,15
4/1/2023 23:00,11,171,14
4/1/2023 23:15,10,176,14
4/1/2023 23:30,10,176,14
4/1/2023 23:45,10,176,13
4/2/2023 0:00,10,175,14
4/2/2023 0:15,11,174,13
4/2/2023 0:30,11,168,15
4/2/2023 0:45,11,167,14
4/2/2023 1:00,11,170,15
4/2/2023 1:15,11,173,15
4/2/2023 1:30,12,167,17
4/2/2023 1:45,12,173,15
4/2/2023 2:00,11,176,15
4/2/2023 2:15,11,175,15
4/2/2023 2:30,13,174,17
4/2/2023 2:45,12,175,16
4/2/2023 3:00,12,177,16
4/2/2023 3:15,11,180,17
4/2/2023 3:30,11,182,16
4/2/2023 3:45,9,191,13
4/2/2023 4:00,9,183,13
4/2/2023 4:15,10,186,14
4/2/2023 4:30,12,181,17
4/2/2023 4:45,11,179,15
4/2/2023 5:00,12,180,15
4/2/2023 5:15,13,174,17
4/2/2023 5:30,14,176,17
4/2/2023 5:45,13,178,17
4/2/2023 6:00,13,176,17
4/2/2023 6:15,13,174,18
4/2/2023 6:30,13,174,17
4/2/2023 6:45,15,172,19
4/2/2023 7:00,14,172,18
4/2/2023 7:15,14,172,18
4/2/2023 7:30,13,175,18
4/2/2023 7:45,13,176,16
4/2/2023 8:00,11,181,15
4/2/2023 8:15,12,178,15
4/2/2023 8:30,11,174,14
4/2/2023 8:45,11,169,14
4/2/2023 9:00,10,178,13
4/2/2023 9:15,9,182,12
4/2/2023 9:30,10,169,12
4/2/2023 9:45,9,199,13
4/2/2023 10:00,10,207,14
4/2/2023 10:15,8,207,12
4/2/2023 10:30,7,218,10
4/2/2023 10:45,7,234,10
4/2/2023 11:00,5,243,9
4/2/2023 11:15,3,267,5
4/2/2023 11:30,3,301,5
4/2/2023 11:45,4,314,6
4/2/2023 12:00,3,331,5
4/2/2023 12:15,4,291,7
4/2/2023 12:30,3,293,5
4/2/2023 12:45,3,283,6
4/2/2023 13:00,5,326,8
4/2/2023 13:15,4,334,6
4/2/2023 13:30,3,314,5
4/2/2023 13:45,2,320,3
4/2/2023 14:00,2,351,4
4/2/2023 14:15,3,65,4
4/2/2023 14:30,3,139,5
4/2/2023 14:45,4,172,6
4/2/2023 15:00,4,158,5
4/2/2023 15:15,4,142,6
4/2/2023 15:30,5,144,7
4/2/2023 15:45,5,155,8
4/2/2023 16:00,7,158,9
4/2/2023 16:15,6,154,8
4/2/2023 16:30,5,144,7
4/2/2023 16:45,5,151,8
4/2/2023 17:00,5,158,7
4/2/2023 17:15,5,171,8
4/2/2023 17:30,5,170,7
4/2/2023 17:45,5,158,7
4/2/2023 18:00,6,160,8
4/2/2023 18:15,8,183,10
4/2/2023 18:30,8,185,10
4/2/2023 18:45,8,181,10
4/2/2023 19:00,8,186,10
4/2/2023 19:15,8,194,10
4/2/2023 19:30,8,191,10
4/2/2023 19:45,8,180,10
4/2/2023 20:00,7,187,9
4/2/2023 20:15,7,179,9
4/2/2023 20:30,7,170,9
