Date and Time GMT,Mean wind speed kt,Wind direction,Max wind speed kt
8/1/2023 0:00,7,53,11
8/1/2023 0:15,8,53,12
8/1/2023 0:30,8,51,11
8/1/2023 0:45,8,52,11
8/1/2023 1:00,8,45,11
8/1/2023 1:15,8,39,10
8/1/2023 1:30,8,36,13
8/1/2023 1:45,7,45,11
8/1/2023 2:00,7,45,9
8/1/2023 2:15,6,40,9
8/1/2023 2:30,5,36,6
8/1/2023 2:45,6,37,9
8/1/2023 3:00,5,43,9
8/1/2023 3:15,5,17,8
8/1/2023 3:30,5,16,8
8/1/2023 3:45,5,28,8
8/1/2023 4:00,4,35,7
8/1/2023 4:15,4,15,7
8/1/2023 4:30,5,16,7
8/1/2023 4:45,5,8,7
8/1/2023 5:00,6,16,9
8/1/2023 5:15,6,14,9
8/1/2023 5:30,6,13,10
8/1/2023 5:45,7,15,10
8/1/2023 6:00,8,14,12
8/1/2023 6:15,7,8,9
8/1/2023 6:30,6,6,9
8/1/2023 6:45,6,2,8
8/1/2023 7:00,6,11,8
8/1/2023 7:15,6,12,9
8/1/2023 7:30,7,15,9
8/1/2023 7:45,7,12,10
8/1/2023 8:00,7,6,10
8/1/2023 8:15,8,13,11
8/1/2023 8:30,7,15,10
8/1/2023 8:45,6,14,9
8/1/2023 9:00,5,4,7
8/1/2023 9:15,5,346,8
8/1/2023 9:30,5,351,9
8/1/2023 9:45,6,358,9
8/1/2023 10:00,6,358,8
8/1/2023 10:15,6,353,9
8/1/2023 10:30,5,356,8
8/1/2023 10:45,6,348,9
8/1/2023 11:00,6,351,9
8/1/2023 11:15,6,353,9
8/1/2023 11:30,5,350,8
8/1/2023 11:45,5,339,9
8/1/2023 12:00,5,346,7
8/1/2023 12:15,5,352,8
8/1/2023 12:30,5,358,7
8/1/2023 12:45,5,355,8
8/1/2023 13:00,6,349,9
8/1/2023 13:15,5,347,9
8/1/2023 13:30,5,342,8
8/1/2023 13:45,7,343,10
8/1/2023 14:00,5,358,9
8/1/2023 14:15,4,22,7
8/1/2023 14:30,4,17,7
8/1/2023 14:45,4,8,8
8/1/2023 15:00,5,8,8
8/1/2023 15:15,4,23,7
8/1/2023 15:30,3,27,6
8/1/2023 15:45,3,23,6
8/1/2023 16:00,4,40,6
8/1/2023 16:15,5,24,7
8/1/2023 16:30,5,31,7
8/1/2023 16:45,4,19,8
8/1/2023 17:00,5,360,8
8/1/2023 17:15,5,355,9
8/1/2023 17:30,5,15,7
8/1/2023 17:45,5,22,8
8/1/2023 18:00,6,22,8
8/1/2023 18:15,6,15,9
8/1/2023 18:30,6,16,8
8/1/2023 18:45,6,21,8
8/1/2023 19:00,7,24,9
8/1/2023 19:15,6,29,9
8/1/2023 19:30,6,23,9
8/1/2023 19:45,4,31,8
8/1/2023 20:00,4,23,6
8/1/2023 20:15,5,16,7
8/1/2023 20:30,5,13,8
8/1/2023 20:45,4,13,7
8/1/2023 21:00,4,14,7
8/1/2023 21:15,5,15,8
8/1/2023 21:30,5,16,7
8/1/2023 21:45,5,32,7
8/1/2023 22:00,5,30,8
8/1/2023 22:15,5,38,7
8/1/2023 22:30,5,50,7
8/1/2023 22:45,3,47,5
8/1/2023 23:00,3,51,5
8/1/2023 23:15,3,59,4
