Date and Time GMT,Mean wind speed kt,Wind direction,Max wind speed kt
12/1/2023 0:00,6,352,9
12/1/2023 0:15,5,354,7
12/1/2023 0:30,7,12,12
12/1/2023 0:45,7,57,12
12/1/2023 1:00,7,51,10
12/1/2023 1:15,6,49,8
12/1/2023 1:30,6,46,8
12/1/2023 1:45,8,27,12
12/1/2023 2:00,9,29,12
12/1/2023 2:15,6,39,11
12/1/2023 2:30,7,26,15
12/1/2023 2:45,8,10,14
12/1/2023 3:00,8,30,14
12/1/2023 3:15,10,35,15
12/1/2023 3:30,11,37,17
12/1/2023 3:45,7,43,10
12/1/2023 4:00,8,43,12
12/1/2023 4:15,8,40,13
12/1/2023 4:30,10,12,15
12/1/2023 4:45,9,4,15
12/1/2023 5:00,9,342,14
12/1/2023 5:15,6,4,11
12/1/2023 5:30,6,26,10
12/1/2023 5:45,7,34,11
12/1/2023 6:00,7,16,11
12/1/2023 6:15,7,23,11
12/1/2023 6:30,7,27,10
12/1/2023 6:45,7,14,10
12/1/2023 7:00,7,22,9
12/1/2023 7:15,6,14,11
12/1/2023 7:30,6,11,8
12/1/2023 7:45,6,31,8
12/1/2023 8:00,5,35,8
12/1/2023 8:15,5,39,7
12/1/2023 8:30,4,29,7
12/1/2023 8:45,3,66,6
12/1/2023 9:00,3,23,7
12/1/2023 9:15,5,7,7
12/1/2023 9:30,3,357,6
12/1/2023 9:45,3,13,6
12/1/2023 10:00,4,10,6
12/1/2023 10:15,4,333,6
12/1/2023 10:30,6,313,11
12/1/2023 10:45,5,330,11
12/1/2023 11:00,5,350,7
12/1/2023 11:15,4,308,6
12/1/2023 11:30,6,251,10
12/1/2023 11:45,5,259,8
12/1/2023 12:00,5,221,8
12/1/2023 12:15,4,233,7
12/1/2023 12:30,5,219,8
12/1/2023 12:45,4,203,8
12/1/2023 13:00,7,307,10
12/1/2023 13:15,6,301,11
12/1/2023 13:30,5,299,9
12/1/2023 13:45,2,285,6
12/1/2023 14:00,2,264,3
12/1/2023 14:15,3,262,7
12/1/2023 14:30,4,284,7
12/1/2023 14:45,5,275,8
12/1/2023 15:00,4,267,7
12/1/2023 15:15,4,252,5
12/1/2023 15:30,4,252,5
12/1/2023 15:45,4,243,6
12/1/2023 16:00,4,246,5
12/1/2023 16:15,4,236,6
12/1/2023 16:30,5,233,6
12/1/2023 16:45,5,232,6
12/1/2023 17:00,4,236,6
12/1/2023 17:15,4,236,5
12/1/2023 17:30,4,230,5
12/1/2023 17:45,4,230,5
12/1/2023 18:00,5,228,7
12/1/2023 18:15,6,228,7
12/1/2023 18:30,6,226,8
12/1/2023 18:45,6,228,7
12/1/2023 19:00,5,237,6
12/1/2023 19:15,5,238,5
12/1/2023 19:30,6,225,7
12/1/2023 19:45,6,220,7
12/1/2023 20:00,6,225,7
12/1/2023 20:15,6,224,7
12/1/2023 20:30,6,222,7
12/1/2023 20:45,7,221,8
12/1/2023 21:00,6,227,7
12/1/2023 21:15,6,225,7
12/1/2023 21:30,6,218,7
12/1/2023 21:45,7,220,8
12/1/2023 22:00,6,225,7
12/1/2023 22:15,6,221,8
12/1/2023 22:30,7,222,8
12/1/2023 22:45,6,227,7
12/1/2023 23:00,6,226,7
12/1/2023 23:15,5,229,6
12/1/2023 23:30,5,236,6
12/1/2023 23:45,5,235,6
12/2/2023 0:00,5,230,6
12/2/2023 0:15,5,233,6
12/2/2023 0:30,5,239,5
12/2/2023 0:45,4,236,5
12/2/2023 1:00,5,226,6
12/2/2023 1:15,5,226,6
12/2/2023 1:30,6,226,8
12/2/2023 1:45,7,217,9
12/2/2023 2:00,7,219,8
12/2/2023 2:15,6,229,7
12/2/2023 2:30,6,229,7
12/2/2023 2:45,5,230,6
12/2/2023 3:00,6,229,7
12/2/2023 3:15,6,223,8
12/2/2023 3:30,7,218,9
12/2/2023 3:45,8,213,9
12/2/2023 4:00,7,220,9
12/2/2023 4:15,7,218,8
12/2/2023 4:30,7,218,9
12/2/2023 4:45,7,221,9
12/2/2023 5:00,6,223,8
12/2/2023 5:15,6,222,8
12/2/2023 5:30,7,215,8
12/2/2023 5:45,7,213,8
12/2/2023 6:00,6,224,8
12/2/2023 6:15,6,224,7
12/2/2023 6:30,6,228,6
12/2/2023 6:45,5,229,6
12/2/2023 7:00,6,223,7
12/2/2023 7:15,6,222,7
12/2/2023 7:30,6,223,7
12/2/2023 7:45,6,223,7
12/2/2023 8:00,6,220,7
12/2/2023 8:15,7,216,7
12/2/2023 8:30,7,212,8
12/2/2023 8:45,7,215,8
12/2/2023 9:00,6,212,7
12/2/2023 9:15,5,203,6
12/2/2023 9:30,5,207,6
12/2/2023 9:45,5,206,6
12/2/2023 10:00,4,201,5
12/2/2023 10:15,4,204,5
12/2/2023 10:30,5,202,5
12/2/2023 10:45,4,204,5
12/2/2023 11:00,4,205,5
12/2/2023 11:15,5,209,5
12/2/2023 11:30,4,219,5
12/2/2023 11:45,3,228,4
12/2/2023 12:00,4,218,5
