Date and Time GMT,Mean wind speed kt,Wind direction,Max wind speed kt
2/1/2023 0:00,33,266,52
2/1/2023 0:15,30,267,47
2/1/2023 0:30,32,266,52
2/1/2023 0:45,29,271,53
2/1/2023 1:00,29,272,46
2/1/2023 1:15,30,273,55
2/1/2023 1:30,28,274,45
2/1/2023 1:45,27,275,44
2/1/2023 2:00,26,278,44
2/1/2023 2:15,26,281,44
2/1/2023 2:30,26,278,41
2/1/2023 2:45,24,280,40
2/1/2023 3:00,25,280,46
2/1/2023 3:15,25,285,41
2/1/2023 3:30,24,285,35
2/1/2023 3:45,24,288,46
2/1/2023 4:00,28,292,39
2/1/2023 4:15,23,289,39
2/1/2023 4:30,26,294,39
2/1/2023 4:45,26,296,37
2/1/2023 5:00,27,295,37
2/1/2023 5:15,28,297,40
2/1/2023 5:30,23,295,34
2/1/2023 5:45,25,297,36
2/1/2023 6:00,25,295,38
2/1/2023 6:15,24,295,35
2/1/2023 6:30,25,296,35
2/1/2023 6:45,23,296,34
2/1/2023 7:00,23,296,33
2/1/2023 7:15,23,295,30
2/1/2023 7:30,23,297,30
2/1/2023 7:45,22,300,35
2/1/2023 8:00,21,298,29
2/1/2023 8:15,23,296,31
2/1/2023 8:30,22,296,30
2/1/2023 8:45,21,296,30
2/1/2023 9:00,23,296,31
2/1/2023 9:15,22,299,31
2/1/2023 9:30,26,310,43
2/1/2023 9:45,27,315,41
2/1/2023 10:00,22,315,36
2/1/2023 10:15,18,300,27
2/1/2023 10:30,22,306,40
2/1/2023 10:45,20,304,35
2/1/2023 11:00,20,298,29
2/1/2023 11:15,19,303,32
2/1/2023 11:30,18,305,29
2/1/2023 11:45,19,303,32
2/1/2023 12:00,18,301,26
2/1/2023 12:15,18,295,25
2/1/2023 12:30,17,296,24
2/1/2023 12:45,18,309,30
2/1/2023 13:00,20,305,34
2/1/2023 13:15,15,298,22
2/1/2023 13:30,16,301,24
2/1/2023 13:45,16,298,29
2/1/2023 14:00,17,300,31
2/1/2023 14:15,15,304,35
2/1/2023 14:30,16,304,25
2/1/2023 14:45,15,300,22
2/1/2023 15:00,16,295,24
2/1/2023 15:15,18,308,32
2/1/2023 15:30,18,308,31
2/1/2023 15:45,14,301,19
2/1/2023 16:00,17,306,28
2/1/2023 16:15,17,310,30
2/1/2023 16:30,12,297,17
2/1/2023 16:45,14,296,19
2/1/2023 17:00,14,297,20
2/1/2023 17:15,12,300,18
2/1/2023 17:30,13,286,25
2/1/2023 17:45,11,292,17
2/1/2023 18:00,11,293,17
2/1/2023 18:15,12,295,17
2/1/2023 18:30,13,309,19
2/1/2023 18:45,11,304,18
2/1/2023 19:00,12,295,17
2/1/2023 19:15,11,298,15
2/1/2023 19:30,10,299,15
2/1/2023 19:45,10,300,14
2/1/2023 20:00,10,289,15
2/1/2023 20:15,8,283,11
2/1/2023 20:30,7,283,11
2/1/2023 20:45,7,277,12
2/1/2023 21:00,8,271,13
2/1/2023 21:15,7,276,12
2/1/2023 21:30,7,280,11
2/1/2023 21:45,6,275,11
2/1/2023 22:00,7,275,13
2/1/2023 22:15,8,272,12
2/1/2023 22:30,6,257,13
2/1/2023 22:45,5,291,11
2/1/2023 23:00,5,232,7
2/1/2023 23:15,6,226,8
2/1/2023 23:30,6,231,8
2/1/2023 23:45,5,248,8
2/2/2023 0:00,6,244,9
2/2/2023 0:15,7,243,9
2/2/2023 0:30,6,257,8
2/2/2023 0:45,6,251,8
2/2/2023 1:00,5,248,8
2/2/2023 1:15,5,233,7
2/2/2023 1:30,6,227,7
2/2/2023 1:45,6,231,7
2/2/2023 2:00,6,223,7
2/2/2023 2:15,6,213,8
2/2/2023 2:30,7,207,9
2/2/2023 2:45,7,214,9
2/2/2023 3:00,8,212,11
2/2/2023 3:15,7,224,10
2/2/2023 3:30,7,219,9
2/2/2023 3:45,7,217,9
2/2/2023 4:00,6,216,7
2/2/2023 4:15,6,205,8
2/2/2023 4:30,5,192,7
2/2/2023 4:45,6,190,8
2/2/2023 5:00,7,190,9
2/2/2023 5:15,7,194,11
2/2/2023 5:30,9,196,12
2/2/2023 5:45,8,190,15
2/2/2023 6:00,13,180,18
2/2/2023 6:15,14,168,18
2/2/2023 6:30,14,160,18
2/2/2023 6:45,14,159,18
2/2/2023 7:00,14,159,19
2/2/2023 7:15,15,160,19
2/2/2023 7:30,15,155,20
2/2/2023 7:45,17,150,22
2/2/2023 8:00,18,149,23
2/2/2023 8:15,18,149,22
2/2/2023 8:30,18,154,24
2/2/2023 8:45,18,156,24
2/2/2023 9:00,18,156,22
2/2/2023 9:15,18,152,22
2/2/2023 9:30,17,154,21
2/2/2023 9:45,17,162,23
2/2/2023 10:00,16,167,23
2/2/2023 10:15,16,174,21
2/2/2023 10:30,16,180,21
2/2/2023 10:45,16,181,20
2/2/2023 11:00,15,179,19
2/2/2023 11:15,13,182,18
2/2/2023 11:30,13,191,18
2/2/2023 11:45,14,200,19
2/2/2023 12:00,14,213,19
2/2/2023 12:15,17,239,26
2/2/2023 12:30,19,249,25
2/2/2023 12:45,20,248,28
2/2/2023 13:00,21,246,29
2/2/2023 13:15,21,245,29
2/2/2023 13:30,22,248,31
2/2/2023 13:45,23,247,31
2/2/2023 14:00,22,246,29
2/2/2023 14:15,22,244,30
2/2/2023 14:30,22,243,30
2/2/2023 14:45,24,245,36
2/2/2023 15:00,25,245,35
2/2/2023 15:15,26,244,39
2/2/2023 15:30,27,244,37
2/2/2023 15:45,25,242,36
2/2/2023 16:00,25,241,35
2/2/2023 16:15,28,242,40
2/2/2023 16:30,30,244,42
2/2/2023 16:45,30,245,44
2/2/2023 17:00,29,249,41
2/2/2023 17:15,32,256,44
2/2/2023 17:30,33,258,46
2/2/2023 17:45,31,261,45
2/2/2023 18:00,31,262,45
2/2/2023 18:15,29,262,41
2/2/2023 18:30,31,262,44
2/2/2023 18:45,30,261,45
2/2/2023 19:00,30,261,44
2/2/2023 19:15,28,261,39
2/2/2023 19:30,29,259,41
2/2/2023 19:45,31,257,41
2/2/2023 20:00,30,254,40
2/2/2023 20:15,27,253,39
