Date and Time GMT,Mean wind speed kt,Wind direction,Max wind speed kt
1/1/2023 0:00,8,56,13
1/1/2023 0:15,9,66,12
1/1/2023 0:30,9,72,12
1/1/2023 0:45,9,74,13
1/1/2023 1:00,10,76,13
1/1/2023 1:15,9,71,13
1/1/2023 1:30,10,77,13
1/1/2023 1:45,9,74,13
1/1/2023 2:00,9,75,12
1/1/2023 2:15,9,79,12
1/1/2023 2:30,9,75,12
1/1/2023 2:45,10,79,13
1/1/2023 3:00,10,91,13
1/1/2023 3:15,10,98,13
1/1/2023 3:30,10,94,15
1/1/2023 3:45,10,92,15
1/1/2023 4:00,11,86,16
1/1/2023 4:15,11,88,16
1/1/2023 4:30,11,84,14
1/1/2023 4:45,10,84,15
1/1/2023 5:00,11,80,15
1/1/2023 5:15,11,85,15
1/1/2023 5:30,10,95,13
1/1/2023 5:45,10,99,14
1/1/2023 6:00,10,95,14
1/1/2023 6:15,11,85,15
1/1/2023 6:30,10,83,15
1/1/2023 6:45,11,83,14
1/1/2023 7:00,11,89,17
1/1/2023 7:15,10,86,13
1/1/2023 7:30,9,97,14
1/1/2023 7:45,9,106,12
1/1/2023 8:00,9,108,13
1/1/2023 8:15,10,101,13
1/1/2023 8:30,10,105,13
1/1/2023 8:45,10,96,14
1/1/2023 9:00,10,92,13
1/1/2023 9:15,10,91,14
1/1/2023 9:30,11,87,14
1/1/2023 9:45,11,84,14
1/1/2023 10:00,11,81,14
1/1/2023 10:15,11,88,15
1/1/2023 10:30,11,98,15
1/1/2023 10:45,11,86,14
1/1/2023 11:00,11,90,16
1/1/2023 11:15,11,103,15
1/1/2023 11:30,12,98,15
1/1/2023 11:45,13,98,17
1/1/2023 12:00,12,102,18
1/1/2023 12:15,11,111,15
1/1/2023 12:30,11,115,15
1/1/2023 12:45,12,112,16
1/1/2023 13:00,13,112,17
1/1/2023 13:15,12,119,20
1/1/2023 13:30,11,101,14
1/1/2023 13:45,12,98,17
1/1/2023 14:00,13,116,18
1/1/2023 14:15,12,117,16
1/1/2023 14:30,13,111,18
1/1/2023 14:45,13,98,17
1/1/2023 15:00,11,97,16
1/1/2023 15:15,13,120,18
1/1/2023 15:30,13,117,18
1/1/2023 15:45,13,123,18
1/1/2023 16:00,13,126,17
