Date and Time GMT,Mean wind speed kt,Wind direction,Max wind speed kt
7/1/2023 0:00,5,93,6
7/1/2023 0:15,4,101,6
7/1/2023 0:30,4,100,6
7/1/2023 0:45,4,105,6
7/1/2023 1:00,4,113,5
7/1/2023 1:15,3,116,4
7/1/2023 1:30,3,119,4
7/1/2023 1:45,3,116,4
7/1/2023 2:00,3,123,4
7/1/2023 2:15,4,113,5
7/1/2023 2:30,3,115,5
7/1/2023 2:45,4,121,5
7/1/2023 3:00,4,117,5
7/1/2023 3:15,4,120,5
7/1/2023 3:30,4,120,5
7/1/2023 3:45,4,119,5
7/1/2023 4:00,4,117,5
7/1/2023 4:15,5,128,6
7/1/2023 4:30,4,134,5
7/1/2023 4:45,4,133,5
7/1/2023 5:00,4,141,5
7/1/2023 5:15,4,149,5
7/1/2023 5:30,3,149,4
7/1/2023 5:45,4,137,5
7/1/2023 6:00,4,148,5
7/1/2023 6:15,4,158,5
7/1/2023 6:30,5,172,8
7/1/2023 6:45,6,174,8
7/1/2023 7:00,5,170,7
7/1/2023 7:15,5,184,7
7/1/2023 7:30,6,189,8
7/1/2023 7:45,7,197,10
7/1/2023 8:00,7,192,10
7/1/2023 8:15,8,202,12
7/1/2023 8:30,8,206,13
7/1/2023 8:45,9,212,13
7/1/2023 9:00,9,205,13
7/1/2023 9:15,10,214,14
7/1/2023 9:30,8,226,14
7/1/2023 9:45,10,238,14
7/1/2023 10:00,11,246,16
7/1/2023 10:15,12,248,17
7/1/2023 10:30,13,246,18
7/1/2023 10:45,13,256,18
7/1/2023 11:00,12,258,19
7/1/2023 11:15,10,267,19
7/1/2023 11:30,18,255,28
7/1/2023 11:45,16,270,30
7/1/2023 12:00,13,275,23
7/1/2023 12:15,10,281,16
7/1/2023 12:30,9,283,14
7/1/2023 12:45,9,280,15
7/1/2023 13:00,13,259,19
7/1/2023 13:15,14,256,21
7/1/2023 13:30,14,259,22
7/1/2023 13:45,15,259,22
7/1/2023 14:00,15,261,22
7/1/2023 14:15,15,263,24
7/1/2023 14:30,14,263,23
7/1/2023 14:45,17,260,25
7/1/2023 15:00,15,258,21
7/1/2023 15:15,15,258,21
7/1/2023 15:30,13,264,21
7/1/2023 15:45,12,271,19
7/1/2023 16:00,12,270,20
7/1/2023 16:15,11,271,22
