Date and Time GMT,Mean wind speed kt,Wind direction,Max wind speed kt
6/1/2023 0:00,12,330,16
6/1/2023 0:15,11,331,15
6/1/2023 0:30,13,328,18
6/1/2023 0:45,10,322,15
6/1/2023 1:00,11,326,15
6/1/2023 1:15,11,329,16
6/1/2023 1:30,11,337,15
6/1/2023 1:45,10,341,15
6/1/2023 2:00,11,336,17
6/1/2023 2:15,10,337,14
6/1/2023 2:30,10,334,14
6/1/2023 2:45,10,332,13
6/1/2023 3:00,10,341,15
6/1/2023 3:15,7,359,10
6/1/2023 3:30,7,351,12
6/1/2023 3:45,9,344,14
6/1/2023 4:00,9,348,17
6/1/2023 4:15,9,344,14
6/1/2023 4:30,11,345,18
6/1/2023 4:45,13,345,19
6/1/2023 5:00,10,1,13
6/1/2023 5:15,11,12,16
6/1/2023 5:30,9,9,14
6/1/2023 5:45,10,3,14
6/1/2023 6:00,9,356,14
6/1/2023 6:15,8,5,10
6/1/2023 6:30,8,3,13
6/1/2023 6:45,9,8,13
6/1/2023 7:00,8,6,12
6/1/2023 7:15,8,358,13
6/1/2023 7:30,6,352,10
6/1/2023 7:45,10,5,16
6/1/2023 8:00,11,16,15
6/1/2023 8:15,11,29,15
6/1/2023 8:30,11,34,15
6/1/2023 8:45,10,30,14
6/1/2023 9:00,10,26,14
6/1/2023 9:15,11,28,14
6/1/2023 9:30,10,23,14
6/1/2023 9:45,10,24,14
6/1/2023 10:00,10,25,14
6/1/2023 10:15,9,33,12
6/1/2023 10:30,9,40,12
6/1/2023 10:45,8,47,12
6/1/2023 11:00,8,37,11
6/1/2023 11:15,8,38,12
6/1/2023 11:30,9,28,11
6/1/2023 11:45,8,29,11
6/1/2023 12:00,9,26,12
6/1/2023 12:15,9,22,12
6/1/2023 12:30,9,20,13
6/1/2023 12:45,9,25,12
6/1/2023 13:00,9,24,13
6/1/2023 13:15,9,22,12
6/1/2023 13:30,8,26,11
6/1/2023 13:45,8,25,11
6/1/2023 14:00,7,20,10
6/1/2023 14:15,7,23,9
6/1/2023 14:30,8,24,12
6/1/2023 14:45,7,12,10
6/1/2023 15:00,8,22,11
6/1/2023 15:15,7,9,11
6/1/2023 15:30,7,6,10
6/1/2023 15:45,7,3,11
6/1/2023 16:00,8,360,12
6/1/2023 16:15,8,7,11
6/1/2023 16:30,8,9,11
6/1/2023 16:45,8,15,12
6/1/2023 17:00,9,17,12
6/1/2023 17:15,8,17,11
6/1/2023 17:30,8,20,11
6/1/2023 17:45,8,19,10
6/1/2023 18:00,8,17,11
6/1/2023 18:15,8,20,11
6/1/2023 18:30,8,16,11
6/1/2023 18:45,8,13,12
6/1/2023 19:00,7,11,10
6/1/2023 19:15,8,14,11
6/1/2023 19:30,8,14,10
6/1/2023 19:45,7,9,9
6/1/2023 20:00,6,8,8
6/1/2023 20:15,6,10,8
6/1/2023 20:30,5,1,8
6/1/2023 20:45,5,6,7
6/1/2023 21:00,5,6,7
6/1/2023 21:15,5,13,7
6/1/2023 21:30,6,11,8
6/1/2023 21:45,5,14,8
6/1/2023 22:00,5,19,7
6/1/2023 22:15,5,25,7
6/1/2023 22:30,5,35,8
6/1/2023 22:45,5,30,6
6/1/2023 23:00,5,28,6
6/1/2023 23:15,5,25,7
6/1/2023 23:30,5,32,7
6/1/2023 23:45,5,41,7
6/2/2023 0:00,5,44,7
6/2/2023 0:15,5,59,7
6/2/2023 0:30,5,63,7
6/2/2023 0:45,5,61,7
6/2/2023 1:00,6,72,8
6/2/2023 1:15,6,86,7
6/2/2023 1:30,6,83,8
6/2/2023 1:45,5,90,7
6/2/2023 2:00,6,94,7
6/2/2023 2:15,5,99,7
6/2/2023 2:30,5,99,7
6/2/2023 2:45,5,94,7
6/2/2023 3:00,5,97,7
6/2/2023 3:15,6,124,7
6/2/2023 3:30,5,123,7
6/2/2023 3:45,6,133,7
6/2/2023 4:00,6,134,8
6/2/2023 4:15,6,136,9
6/2/2023 4:30,6,136,8
6/2/2023 4:45,6,143,8
6/2/2023 5:00,6,143,8
6/2/2023 5:15,6,142,8
6/2/2023 5:30,6,140,8
6/2/2023 5:45,7,148,10
6/2/2023 6:00,7,153,10
6/2/2023 6:15,7,157,9
6/2/2023 6:30,6,158,9
6/2/2023 6:45,7,147,9
6/2/2023 7:00,5,151,9
6/2/2023 7:15,5,146,7
6/2/2023 7:30,5,145,7
6/2/2023 7:45,5,155,7
6/2/2023 8:00,5,143,7
6/2/2023 8:15,5,132,7
6/2/2023 8:30,6,131,8
6/2/2023 8:45,6,128,8
6/2/2023 9:00,6,130,7
6/2/2023 9:15,5,125,7
6/2/2023 9:30,6,129,8
6/2/2023 9:45,6,124,8
6/2/2023 10:00,6,122,8
6/2/2023 10:15,6,128,8
6/2/2023 10:30,7,125,9
6/2/2023 10:45,7,126,9
6/2/2023 11:00,8,131,10
6/2/2023 11:15,8,139,11
6/2/2023 11:30,9,147,11
6/2/2023 11:45,8,143,10
6/2/2023 12:00,8,144,10
6/2/2023 12:15,8,145,9
6/2/2023 12:30,8,141,10
6/2/2023 12:45,8,138,10
6/2/2023 13:00,8,138,10
6/2/2023 13:15,8,143,10
6/2/2023 13:30,9,143,10
6/2/2023 13:45,9,138,11
6/2/2023 14:00,10,137,12
6/2/2023 14:15,9,134,12
6/2/2023 14:30,9,135,11
6/2/2023 14:45,9,134,11
6/2/2023 15:00,9,135,11
6/2/2023 15:15,9,133,11
6/2/2023 15:30,9,132,11
6/2/2023 15:45,10,137,12
6/2/2023 16:00,10,135,12
6/2/2023 16:15,10,136,12
6/2/2023 16:30,10,136,12
6/2/2023 16:45,10,141,13
