Date and Time GMT,Mean wind speed kt,Wind direction,Max wind speed kt
5/1/2023 0:00,6,220,10
5/1/2023 0:15,7,237,12
5/1/2023 0:30,8,242,13
5/1/2023 0:45,8,264,13
5/1/2023 1:00,5,281,8
5/1/2023 1:15,6,295,10
5/1/2023 1:30,11,335,15
5/1/2023 1:45,12,7,17
5/1/2023 2:00,13,11,17
5/1/2023 2:15,12,12,17
5/1/2023 2:30,12,6,19
5/1/2023 2:45,15,6,19
5/1/2023 3:00,17,12,25
5/1/2023 3:15,19,15,25
5/1/2023 3:30,20,12,29
5/1/2023 3:45,22,13,30
5/1/2023 4:00,22,12,28
5/1/2023 4:15,21,12,29
5/1/2023 4:30,21,14,28
5/1/2023 4:45,21,16,32
5/1/2023 5:00,21,17,26
5/1/2023 5:15,21,15,27
5/1/2023 5:30,21,15,29
5/1/2023 5:45,19,13,25
5/1/2023 6:00,19,7,26
5/1/2023 6:15,18,7,26
5/1/2023 6:30,17,5,23
5/1/2023 6:45,17,3,24
5/1/2023 7:00,17,7,25
5/1/2023 7:15,18,8,25
5/1/2023 7:30,17,5,24
5/1/2023 7:45,16,3,22
5/1/2023 8:00,17,11,24
5/1/2023 8:15,18,360,24
5/1/2023 8:30,18,358,24
5/1/2023 8:45,17,2,22
5/1/2023 9:00,17,360,23
5/1/2023 9:15,17,358,22
5/1/2023 9:30,17,359,24
5/1/2023 9:45,16,358,21
5/1/2023 10:00,17,356,25
5/1/2023 10:15,17,355,23
5/1/2023 10:30,16,353,22
5/1/2023 10:45,16,349,23
5/1/2023 11:00,16,350,22
5/1/2023 11:15,15,353,22
5/1/2023 11:30,15,347,21
5/1/2023 11:45,14,351,20
5/1/2023 12:00,15,345,21
5/1/2023 12:15,14,346,19
5/1/2023 12:30,17,338,22
5/1/2023 12:45,15,338,19
5/1/2023 13:00,12,336,17
5/1/2023 13:15,14,334,19
5/1/2023 13:30,16,331,20
5/1/2023 13:45,14,325,19
5/1/2023 14:00,15,321,20
5/1/2023 14:15,16,319,24
5/1/2023 14:30,16,336,22
5/1/2023 14:45,13,336,18
5/1/2023 15:00,14,321,21
5/1/2023 15:15,16,323,21
5/1/2023 15:30,13,312,19
5/1/2023 15:45,13,309,20
5/1/2023 16:00,13,307,19
5/1/2023 16:15,13,306,22
5/1/2023 16:30,17,319,23
5/1/2023 16:45,18,317,25
5/1/2023 17:00,18,317,23
5/1/2023 17:15,17,315,24
5/1/2023 17:30,19,319,28
5/1/2023 17:45,15,310,26
5/1/2023 18:00,13,306,18
5/1/2023 18:15,14,312,20
5/1/2023 18:30,16,320,21
5/1/2023 18:45,13,328,17
5/1/2023 19:00,14,327,23
5/1/2023 19:15,17,328,21
5/1/2023 19:30,17,334,22
5/1/2023 19:45,18,322,25
5/1/2023 20:00,18,320,24
5/1/2023 20:15,17,318,22
5/1/2023 20:30,17,318,22
5/1/2023 20:45,15,315,21
5/1/2023 21:00,16,330,20
5/1/2023 21:15,10,332,16
5/1/2023 21:30,14,320,19
5/1/2023 21:45,16,327,23
5/1/2023 22:00,14,333,18
5/1/2023 22:15,9,306,15
5/1/2023 22:30,14,316,21
5/1/2023 22:45,14,315,19
5/1/2023 23:00,14,317,21
5/1/2023 23:15,14,323,20
5/1/2023 23:30,14,327,18
5/1/2023 23:45,14,331,18
5/2/2023 0:00,11,338,14
5/2/2023 0:15,13,328,19
5/2/2023 0:30,11,328,16
5/2/2023 0:45,12,332,16
5/2/2023 1:00,11,322,14
5/2/2023 1:15,12,332,16
5/2/2023 1:30,12,336,15
5/2/2023 1:45,12,334,16
5/2/2023 2:00,12,332,15
5/2/2023 2:15,11,331,15
5/2/2023 2:30,12,325,16
5/2/2023 2:45,12,321,16
5/2/2023 3:00,13,324,16
5/2/2023 3:15,13,348,20
5/2/2023 3:30,10,349,15
5/2/2023 3:45,9,330,12
5/2/2023 4:00,10,325,13
5/2/2023 4:15,9,329,13
5/2/2023 4:30,10,327,14
5/2/2023 4:45,11,329,14
5/2/2023 5:00,8,319,11
5/2/2023 5:15,7,315,11
5/2/2023 5:30,6,308,9
5/2/2023 5:45,6,308,9
5/2/2023 6:00,7,322,9
5/2/2023 6:15,7,333,9
5/2/2023 6:30,7,326,10
5/2/2023 6:45,6,314,9
5/2/2023 7:00,6,302,9
5/2/2023 7:15,6,289,11
5/2/2023 7:30,6,279,11
5/2/2023 7:45,6,285,8
5/2/2023 8:00,6,302,9
5/2/2023 8:15,6,3,8
5/2/2023 8:30,5,5,7
5/2/2023 8:45,6,17,9
5/2/2023 9:00,6,341,10
5/2/2023 9:15,6,299,9
5/2/2023 9:30,6,280,9
5/2/2023 9:45,5,273,8
5/2/2023 10:00,5,300,8
5/2/2023 10:15,5,323,8
5/2/2023 10:30,5,338,7
5/2/2023 10:45,5,5,7
5/2/2023 11:00,4,334,6
5/2/2023 11:15,3,352,6
5/2/2023 11:30,3,328,7
5/2/2023 11:45,3,323,7
5/2/2023 12:00,3,302,7
5/2/2023 12:15,3,305,9
5/2/2023 12:30,4,324,8
5/2/2023 12:45,4,325,8
5/2/2023 13:00,5,319,8
5/2/2023 13:15,7,333,10
5/2/2023 13:30,8,334,11
5/2/2023 13:45,8,333,11
5/2/2023 14:00,8,338,11
5/2/2023 14:15,8,335,11
5/2/2023 14:30,7,332,9
5/2/2023 14:45,6,353,8
5/2/2023 15:00,6,44,7
5/2/2023 15:15,4,56,8
5/2/2023 15:30,4,65,6
5/2/2023 15:45,5,44,8
5/2/2023 16:00,5,61,8
5/2/2023 16:15,5,129,8
5/2/2023 16:30,5,137,6
5/2/2023 16:45,5,132,6
5/2/2023 17:00,4,130,5
5/2/2023 17:15,4,129,5
5/2/2023 17:30,4,131,6
5/2/2023 17:45,4,128,5
5/2/2023 18:00,4,121,5
5/2/2023 18:15,4,125,6
5/2/2023 18:30,4,116,6
5/2/2023 18:45,5,116,7
5/2/2023 19:00,5,111,8
5/2/2023 19:15,5,104,7
5/2/2023 19:30,5,102,8
5/2/2023 19:45,5,106,7
5/2/2023 20:00,5,102,7
5/2/2023 20:15,6,107,8
5/2/2023 20:30,4,103,7
5/2/2023 20:45,6,103,8
5/2/2023 21:00,6,107,8
5/2/2023 21:15,6,110,9
5/2/2023 21:30,5,125,7
5/2/2023 21:45,6,127,8
5/2/2023 22:00,5,136,8
5/2/2023 22:15,5,124,7
5/2/2023 22:30,5,119,8
5/2/2023 22:45,7,118,9
5/2/2023 23:00,7,119,10
5/2/2023 23:15,7,110,9
5/2/2023 23:30,6,119,8
5/2/2023 23:45,7,118,9
5/3/2023 0:00,6,116,9
5/3/2023 0:15,6,112,8
5/3/2023 0:30,7,109,8
5/3/2023 0:45,6,113,8
5/3/2023 1:00,7,117,9
5/3/2023 1:15,7,116,9
5/3/2023 1:30,8,110,10
5/3/2023 1:45,8,109,10
5/3/2023 2:00,9,104,11
5/3/2023 2:15,9,99,11
5/3/2023 2:30,8,105,11
5/3/2023 2:45,7,108,10
5/3/2023 3:00,8,116,10
5/3/2023 3:15,8,119,10
5/3/2023 3:30,7,114,9
5/3/2023 3:45,8,103,10
5/3/2023 4:00,8,96,11
5/3/2023 4:15,9,101,12
5/3/2023 4:30,9,100,11
5/3/2023 4:45,9,99,12
5/3/2023 5:00,10,101,13
5/3/2023 5:15,11,103,14
5/3/2023 5:30,11,105,14
5/3/2023 5:45,11,101,14
5/3/2023 6:00,11,103,15
5/3/2023 6:15,12,102,15
5/3/2023 6:30,12,99,15
5/3/2023 6:45,12,99,15
5/3/2023 7:00,12,101,15
5/3/2023 7:15,13,101,16
5/3/2023 7:30,13,101,16
5/3/2023 7:45,13,101,16
5/3/2023 8:00,13,99,16
5/3/2023 8:15,14,101,16
5/3/2023 8:30,13,99,16
5/3/2023 8:45,14,100,17
5/3/2023 9:00,14,99,17
5/3/2023 9:15,14,98,17
5/3/2023 9:30,14,100,18
5/3/2023 9:45,14,100,17
5/3/2023 10:00,14,101,18
5/3/2023 10:15,15,100,19
5/3/2023 10:30,15,101,18
5/3/2023 10:45,15,101,18
5/3/2023 11:00,15,101,18
5/3/2023 11:15,15,102,19
5/3/2023 11:30,14,106,18
5/3/2023 11:45,13,118,17
5/3/2023 12:00,13,117,17
5/3/2023 12:15,13,117,16
5/3/2023 12:30,14,114,17
5/3/2023 12:45,14,115,17
5/3/2023 13:00,14,115,17
5/3/2023 13:15,14,113,17
5/3/2023 13:30,14,114,17
5/3/2023 13:45,14,113,17
5/3/2023 14:00,14,114,17
5/3/2023 14:15,14,113,17
5/3/2023 14:30,15,114,18
5/3/2023 14:45,15,111,18
5/3/2023 15:00,14,112,18
5/3/2023 15:15,15,111,18
5/3/2023 15:30,15,109,19
5/3/2023 15:45,15,112,19
5/3/2023 16:00,15,114,19
5/3/2023 16:15,16,112,19
5/3/2023 16:30,15,112,19
5/3/2023 16:45,16,111,19
5/3/2023 17:00,15,113,19
5/3/2023 17:15,15,111,18
5/3/2023 17:30,15,114,19
5/3/2023 17:45,15,113,19
5/3/2023 18:00,15,115,18
5/3/2023 18:15,16,114,19
5/3/2023 18:30,15,117,19
5/3/2023 18:45,15,119,19
5/3/2023 19:00,16,116,19
5/3/2023 19:15,15,119,19
5/3/2023 19:30,15,119,20
5/3/2023 19:45,15,120,19
5/3/2023 20:00,14,119,18
5/3/2023 20:15,15,115,18
5/3/2023 20:30,15,119,18
5/3/2023 20:45,14,119,19
5/3/2023 21:00,15,123,19
5/3/2023 21:15,15,121,19
5/3/2023 21:30,15,122,19
5/3/2023 21:45,16,122,21
5/3/2023 22:00,15,119,19
5/3/2023 22:15,15,115,19
5/3/2023 22:30,16,116,20
5/3/2023 22:45,16,115,19
5/3/2023 23:00,16,115,20
5/3/2023 23:15,16,115,20
5/3/2023 23:30,16,113,20
5/3/2023 23:45,17,110,21
5/4/2023 0:00,17,109,21
5/4/2023 0:15,18,109,22
5/4/2023 0:30,17,108,21
5/4/2023 0:45,17,107,23
5/4/2023 1:00,17,106,22
5/4/2023 1:15,18,106,22
5/4/2023 1:30,19,106,23
5/4/2023 1:45,19,107,24
5/4/2023 2:00,20,106,24
5/4/2023 2:15,20,106,25
5/4/2023 2:30,20,107,25
5/4/2023 2:45,19,107,23
5/4/2023 3:00,19,109,24
5/4/2023 3:15,20,108,24
5/4/2023 3:30,20,110,25
5/4/2023 3:45,20,110,24
5/4/2023 4:00,19,108,25
5/4/2023 4:15,21,107,26
5/4/2023 4:30,21,109,26
5/4/2023 4:45,21,108,26
5/4/2023 5:00,21,107,27
5/4/2023 5:15,21,108,27
5/4/2023 5:30,20,109,26
5/4/2023 5:45,21,109,26
5/4/2023 6:00,21,107,28
5/4/2023 6:15,20,107,24
5/4/2023 6:30,20,108,26
5/4/2023 6:45,21,108,26
5/4/2023 7:00,20,112,28
5/4/2023 7:15,21,108,26
5/4/2023 7:30,20,107,27
5/4/2023 7:45,20,107,25
5/4/2023 8:00,20,111,26
5/4/2023 8:15,20,112,25
5/4/2023 8:30,20,113,25
5/4/2023 8:45,19,113,25
5/4/2023 9:00,19,112,24
5/4/2023 9:15,18,112,23
5/4/2023 9:30,19,112,24
5/4/2023 9:45,17,110,22
5/4/2023 10:00,18,108,24
5/4/2023 10:15,19,107,23
5/4/2023 10:30,19,106,24
5/4/2023 10:45,20,110,24
5/4/2023 11:00,19,108,23
5/4/2023 11:15,18,110,24
5/4/2023 11:30,19,108,24
5/4/2023 11:45,19,113,24
5/4/2023 12:00,19,111,25
5/4/2023 12:15,19,108,24
5/4/2023 12:30,20,109,25
5/4/2023 12:45,19,113,23
5/4/2023 13:00,20,106,25
5/4/2023 13:15,21,105,26
5/4/2023 13:30,21,102,25
5/4/2023 13:45,20,108,25
5/4/2023 14:00,20,106,25
5/4/2023 14:15,20,104,26
5/4/2023 14:30,21,102,26
5/4/2023 14:45,20,102,25
5/4/2023 15:00,20,104,26
5/4/2023 15:15,20,103,25
5/4/2023 15:30,19,105,24
5/4/2023 15:45,20,104,24
5/4/2023 16:00,20,105,25
5/4/2023 16:15,20,102,26
5/4/2023 16:30,20,101,25
5/4/2023 16:45,20,103,25
5/4/2023 17:00,19,106,24
5/4/2023 17:15,19,105,23
5/4/2023 17:30,19,106,24
5/4/2023 17:45,18,106,23
5/4/2023 18:00,19,109,24
5/4/2023 18:15,19,104,23
5/4/2023 18:30,19,107,23
5/4/2023 18:45,18,103,23
5/4/2023 19:00,18,105,22
5/4/2023 19:15,17,106,22
5/4/2023 19:30,17,105,21
5/4/2023 19:45,17,105,22
5/4/2023 20:00,16,105,20
5/4/2023 20:15,16,103,21
