Date and Time GMT,Mean wind speed kt,Wind direction,Max wind speed kt
11/1/2023 0:00,12,48,21
11/1/2023 0:15,12,78,19
11/1/2023 0:30,13,32,21
11/1/2023 0:45,11,56,20
11/1/2023 1:00,9,83,21
11/1/2023 1:15,8,93,13
11/1/2023 1:30,10,78,14
11/1/2023 1:45,11,63,19
11/1/2023 2:00,12,46,16
11/1/2023 2:15,12,44,17
11/1/2023 2:30,12,48,17
11/1/2023 2:45,12,43,16
11/1/2023 3:00,12,43,16
11/1/2023 3:15,11,46,16
11/1/2023 3:30,11,48,16
11/1/2023 3:45,11,46,16
11/1/2023 4:00,10,50,15
11/1/2023 4:15,10,46,15
11/1/2023 4:30,10,51,13
11/1/2023 4:45,9,55,13
11/1/2023 5:00,9,51,13
11/1/2023 5:15,10,52,15
11/1/2023 5:30,10,64,14
11/1/2023 5:45,9,57,15
11/1/2023 6:00,12,50,17
11/1/2023 6:15,11,52,15
11/1/2023 6:30,10,67,13
11/1/2023 6:45,10,71,13
11/1/2023 7:00,10,69,14
11/1/2023 7:15,12,58,18
11/1/2023 7:30,12,65,17
11/1/2023 7:45,12,56,16
11/1/2023 8:00,12,65,16
11/1/2023 8:15,12,63,16
11/1/2023 8:30,13,48,17
11/1/2023 8:45,13,43,18
11/1/2023 9:00,12,55,17
11/1/2023 9:15,12,64,16
11/1/2023 9:30,11,68,16
11/1/2023 9:45,13,57,18
11/1/2023 10:00,15,53,19
11/1/2023 10:15,14,65,19
11/1/2023 10:30,15,69,21
11/1/2023 10:45,14,70,19
11/1/2023 11:00,16,74,23
11/1/2023 11:15,15,79,19
11/1/2023 11:30,16,83,20
11/1/2023 11:45,16,80,21
11/1/2023 12:00,16,84,22
11/1/2023 12:15,15,79,21
11/1/2023 12:30,16,83,22
11/1/2023 12:45,17,79,22
11/1/2023 13:00,17,78,23
11/1/2023 13:15,17,80,22
11/1/2023 13:30,19,79,24
11/1/2023 13:45,18,79,23
11/1/2023 14:00,18,76,24
11/1/2023 14:15,19,77,26
11/1/2023 14:30,20,72,26
11/1/2023 14:45,20,76,27
11/1/2023 15:00,21,75,27
11/1/2023 15:15,21,73,26
11/1/2023 15:30,21,74,27
11/1/2023 15:45,21,71,30
11/1/2023 16:00,23,68,31
11/1/2023 16:15,21,70,31
11/1/2023 16:30,22,69,31
11/1/2023 16:45,22,59,29
11/1/2023 17:00,23,54,31
11/1/2023 17:15,24,51,34
11/1/2023 17:30,23,53,31
11/1/2023 17:45,23,52,30
11/1/2023 18:00,23,54,30
11/1/2023 18:15,23,54,31
11/1/2023 18:30,22,53,30
11/1/2023 18:45,21,54,29
11/1/2023 19:00,22,65,28
11/1/2023 19:15,21,63,27
11/1/2023 19:30,22,58,28
11/1/2023 19:45,20,59,26
11/1/2023 20:00,19,61,26
11/1/2023 20:15,19,68,25
11/1/2023 20:30,20,69,26
11/1/2023 20:45,24,75,31
11/1/2023 21:00,25,76,33
11/1/2023 21:15,25,72,34
11/1/2023 21:30,25,71,34
11/1/2023 21:45,24,68,30
11/1/2023 22:00,21,69,28
11/1/2023 22:15,18,76,24
11/1/2023 22:30,15,109,19
11/1/2023 22:45,14,120,18
11/1/2023 23:00,13,118,18
11/1/2023 23:15,13,114,17
11/1/2023 23:30,13,109,17
11/1/2023 23:45,13,107,16
11/2/2023 0:00,15,127,21
11/2/2023 0:15,14,128,18
11/2/2023 0:30,13,124,17
11/2/2023 0:45,15,131,24
11/2/2023 1:00,13,137,19
11/2/2023 1:15,13,134,19
11/2/2023 1:30,13,134,20
11/2/2023 1:45,12,136,16
11/2/2023 2:00,10,126,14
11/2/2023 2:15,9,156,13
11/2/2023 2:30,9,156,13
11/2/2023 2:45,10,159,16
11/2/2023 3:00,11,182,15
11/2/2023 3:15,11,182,15
11/2/2023 3:30,11,181,15
11/2/2023 3:45,17,181,25
11/2/2023 4:00,18,184,23
11/2/2023 4:15,17,188,24
11/2/2023 4:30,15,184,21
11/2/2023 4:45,16,179,22
11/2/2023 5:00,17,175,22
11/2/2023 5:15,15,176,21
11/2/2023 5:30,14,177,21
11/2/2023 5:45,16,175,20
11/2/2023 6:00,15,173,20
11/2/2023 6:15,13,172,18
11/2/2023 6:30,14,167,19
11/2/2023 6:45,14,163,18
11/2/2023 7:00,13,165,18
11/2/2023 7:15,14,162,19
11/2/2023 7:30,13,163,18
11/2/2023 7:45,13,157,18
11/2/2023 8:00,14,156,19
11/2/2023 8:15,14,158,19
11/2/2023 8:30,15,156,19
11/2/2023 8:45,14,155,19
11/2/2023 9:00,14,149,19
11/2/2023 9:15,14,144,18
11/2/2023 9:30,13,140,18
11/2/2023 9:45,13,131,16
11/2/2023 10:00,12,133,16
11/2/2023 10:15,13,136,19
11/2/2023 10:30,15,126,18
11/2/2023 10:45,14,127,17
11/2/2023 11:00,14,126,18
11/2/2023 11:15,14,119,18
11/2/2023 11:30,14,114,19
11/2/2023 11:45,15,118,19
11/2/2023 12:00,14,114,18
11/2/2023 12:15,13,112,18
11/2/2023 12:30,13,105,18
11/2/2023 12:45,14,98,18
11/2/2023 13:00,14,93,18
11/2/2023 13:15,15,95,23
11/2/2023 13:30,15,95,21
11/2/2023 13:45,13,90,18
11/2/2023 14:00,14,86,18
11/2/2023 14:15,12,71,15
11/2/2023 14:30,12,68,15
11/2/2023 14:45,13,76,16
11/2/2023 15:00,16,84,22
11/2/2023 15:15,16,64,24
11/2/2023 15:30,13,62,17
11/2/2023 15:45,13,72,20
11/2/2023 16:00,17,77,25
11/2/2023 16:15,18,70,26
11/2/2023 16:30,20,79,25
11/2/2023 16:45,18,82,26
11/2/2023 17:00,20,80,27
11/2/2023 17:15,19,73,26
11/2/2023 17:30,17,75,22
11/2/2023 17:45,17,76,20
11/2/2023 18:00,15,70,19
11/2/2023 18:15,17,74,21
11/2/2023 18:30,17,74,23
11/2/2023 18:45,17,70,23
11/2/2023 19:00,18,69,23
11/2/2023 19:15,20,69,26
11/2/2023 19:30,19,68,24
11/2/2023 19:45,18,70,24
11/2/2023 20:00,21,64,27
11/2/2023 20:15,22,64,28
11/2/2023 20:30,20,63,26
11/2/2023 20:45,20,66,27
11/2/2023 21:00,21,64,29
11/2/2023 21:15,22,63,28
11/2/2023 21:30,22,60,28
11/2/2023 21:45,22,57,29
11/2/2023 22:00,23,53,30
11/2/2023 22:15,22,51,29
11/2/2023 22:30,22,50,29
11/2/2023 22:45,23,51,30
11/2/2023 23:00,21,58,28
11/2/2023 23:15,21,50,27
11/2/2023 23:30,21,50,29
11/2/2023 23:45,21,45,30
11/3/2023 0:00,22,51,29
11/3/2023 0:15,20,54,27
11/3/2023 0:30,20,53,27
11/3/2023 0:45,20,48,29
11/3/2023 1:00,22,56,29
11/3/2023 1:15,21,56,30
11/3/2023 1:30,20,50,27
11/3/2023 1:45,21,46,27
11/3/2023 2:00,21,43,28
11/3/2023 2:15,21,42,28
11/3/2023 2:30,20,44,27
11/3/2023 2:45,20,42,27
11/3/2023 3:00,21,35,28
11/3/2023 3:15,21,33,29
11/3/2023 3:30,22,32,29
11/3/2023 3:45,20,32,27
11/3/2023 4:00,22,25,28
11/3/2023 4:15,21,23,30
11/3/2023 4:30,20,21,27
11/3/2023 4:45,19,17,26
11/3/2023 5:00,19,18,26
11/3/2023 5:15,19,31,26
11/3/2023 5:30,20,34,27
