Date and Time GMT,Mean wind speed kt,Wind direction,Max wind speed kt
10/1/2023 0:00,19,131,24
10/1/2023 0:15,20,133,25
10/1/2023 0:30,18,133,26
10/1/2023 0:45,20,131,26
10/1/2023 1:00,19,131,25
10/1/2023 1:15,20,131,25
10/1/2023 1:30,19,135,24
10/1/2023 1:45,19,135,25
10/1/2023 2:00,20,135,26
10/1/2023 2:15,20,137,24
10/1/2023 2:30,20,136,27
10/1/2023 2:45,20,136,25
10/1/2023 3:00,22,132,28
10/1/2023 3:15,21,130,27
10/1/2023 3:30,21,130,29
10/1/2023 3:45,21,131,28
10/1/2023 4:00,22,132,29
10/1/2023 4:15,24,133,33
10/1/2023 4:30,24,134,31
10/1/2023 4:45,23,137,29
10/1/2023 5:00,22,140,29
10/1/2023 5:15,22,138,29
10/1/2023 5:30,22,144,27
10/1/2023 5:45,20,151,26
10/1/2023 6:00,20,155,25
10/1/2023 6:15,19,158,25
10/1/2023 6:30,18,161,23
10/1/2023 6:45,17,164,22
10/1/2023 7:00,17,170,23
10/1/2023 7:15,16,170,20
10/1/2023 7:30,15,170,20
10/1/2023 7:45,15,171,18
10/1/2023 8:00,14,171,18
10/1/2023 8:15,13,175,18
10/1/2023 8:30,12,178,17
10/1/2023 8:45,11,185,16
10/1/2023 9:00,11,187,14
10/1/2023 9:15,12,185,16
10/1/2023 9:30,14,196,20
10/1/2023 9:45,12,186,17
10/1/2023 10:00,13,193,17
10/1/2023 10:15,12,195,17
10/1/2023 10:30,13,188,17
10/1/2023 10:45,13,196,18
10/1/2023 11:00,13,200,17
10/1/2023 11:15,12,207,16
10/1/2023 11:30,13,220,18
10/1/2023 11:45,13,230,17
10/1/2023 12:00,16,247,24
10/1/2023 12:15,16,250,24
10/1/2023 12:30,17,247,25
10/1/2023 12:45,16,246,24
10/1/2023 13:00,16,249,24
10/1/2023 13:15,17,251,26
10/1/2023 13:30,18,253,25
10/1/2023 13:45,19,251,27
10/1/2023 14:00,16,249,23
10/1/2023 14:15,18,254,24
10/1/2023 14:30,17,256,24
10/1/2023 14:45,17,254,24
10/1/2023 15:00,16,251,23
10/1/2023 15:15,17,245,27
10/1/2023 15:30,18,250,25
10/1/2023 15:45,17,250,24
10/1/2023 16:00,15,253,20
10/1/2023 16:15,14,252,20
10/1/2023 16:30,13,249,19
10/1/2023 16:45,12,247,19
10/1/2023 17:00,13,251,18
10/1/2023 17:15,8,232,16
10/1/2023 17:30,9,236,14
10/1/2023 17:45,11,241,15
10/1/2023 18:00,12,240,18
10/1/2023 18:15,8,226,13
10/1/2023 18:30,7,207,9
10/1/2023 18:45,7,211,9
10/1/2023 19:00,7,202,9
10/1/2023 19:15,5,173,7
10/1/2023 19:30,7,191,11
10/1/2023 19:45,10,208,14
10/1/2023 20:00,11,208,16
10/1/2023 20:15,9,202,12
10/1/2023 20:30,11,209,14
10/1/2023 20:45,11,215,13
10/1/2023 21:00,12,215,16
10/1/2023 21:15,12,214,15
10/1/2023 21:30,12,213,15
10/1/2023 21:45,11,210,14
10/1/2023 22:00,10,210,13
10/1/2023 22:15,10,202,13
10/1/2023 22:30,10,202,16
10/1/2023 22:45,11,203,15
10/1/2023 23:00,10,201,14
10/1/2023 23:15,8,201,11
10/1/2023 23:30,11,204,16
10/1/2023 23:45,11,205,14
10/2/2023 0:00,9,189,12
10/2/2023 0:15,9,186,13
10/2/2023 0:30,10,192,16
10/2/2023 0:45,9,194,13
10/2/2023 1:00,8,187,11
10/2/2023 1:15,7,182,11
10/2/2023 1:30,8,188,12
10/2/2023 1:45,9,188,12
10/2/2023 2:00,10,191,14
10/2/2023 2:15,12,201,17
10/2/2023 2:30,12,204,17
10/2/2023 2:45,11,199,16
10/2/2023 3:00,12,198,19
10/2/2023 3:15,15,201,21
10/2/2023 3:30,16,200,20
10/2/2023 3:45,15,200,20
10/2/2023 4:00,15,204,22
10/2/2023 4:15,14,202,19
10/2/2023 4:30,12,197,16
10/2/2023 4:45,15,215,21
10/2/2023 5:00,16,214,24
10/2/2023 5:15,15,205,21
10/2/2023 5:30,15,207,21
10/2/2023 5:45,15,206,24
10/2/2023 6:00,14,204,18
10/2/2023 6:15,14,207,20
10/2/2023 6:30,14,208,19
10/2/2023 6:45,14,206,20
10/2/2023 7:00,13,201,17
10/2/2023 7:15,13,199,18
10/2/2023 7:30,14,200,18
10/2/2023 7:45,14,202,19
10/2/2023 8:00,14,199,18
10/2/2023 8:15,15,199,21
10/2/2023 8:30,17,202,22
10/2/2023 8:45,16,205,22
10/2/2023 9:00,17,202,23
10/2/2023 9:15,17,201,22
10/2/2023 9:30,17,199,21
10/2/2023 9:45,17,198,22
10/2/2023 10:00,17,200,24
10/2/2023 10:15,17,196,23
10/2/2023 10:30,17,202,23
10/2/2023 10:45,14,200,20
10/2/2023 11:00,17,200,24
10/2/2023 11:15,17,198,24
10/2/2023 11:30,17,200,23
10/2/2023 11:45,16,202,24
10/2/2023 12:00,18,203,23
10/2/2023 12:15,18,197,24
10/2/2023 12:30,16,198,23
10/2/2023 12:45,16,202,21
10/2/2023 13:00,18,199,26
10/2/2023 13:15,14,223,22
10/2/2023 13:30,9,240,14
10/2/2023 13:45,9,240,14
