Date and Time GMT,Mean wind speed kt,Wind direction,Max wind speed kt
9/1/2023 0:00,5,72,7
9/1/2023 0:15,6,78,7
9/1/2023 0:30,6,74,8
9/1/2023 0:45,5,72,7
9/1/2023 1:00,5,77,7
9/1/2023 1:15,5,74,7
9/1/2023 1:30,5,76,7
9/1/2023 1:45,6,76,8
9/1/2023 2:00,6,75,9
9/1/2023 2:15,7,81,9
9/1/2023 2:30,7,79,10
9/1/2023 2:45,7,83,9
9/1/2023 3:00,6,83,8
9/1/2023 3:15,6,82,8
9/1/2023 3:30,6,79,9
9/1/2023 3:45,7,72,9
9/1/2023 4:00,7,77,9
9/1/2023 4:15,6,83,8
9/1/2023 4:30,6,73,9
9/1/2023 4:45,7,73,9
9/1/2023 5:00,6,71,9
9/1/2023 5:15,7,77,10
9/1/2023 5:30,7,77,10
9/1/2023 5:45,7,75,10
9/1/2023 6:00,7,74,9
9/1/2023 6:15,7,75,9
9/1/2023 6:30,7,71,10
9/1/2023 6:45,7,67,9
9/1/2023 7:00,8,65,11
9/1/2023 7:15,8,68,10
9/1/2023 7:30,7,67,10
9/1/2023 7:45,8,64,10
9/1/2023 8:00,8,67,10
9/1/2023 8:15,8,72,10
9/1/2023 8:30,8,68,11
9/1/2023 8:45,8,68,11
9/1/2023 9:00,8,69,11
9/1/2023 9:15,7,71,11
9/1/2023 9:30,7,74,9
9/1/2023 9:45,7,73,10
9/1/2023 10:00,7,65,10
9/1/2023 10:15,8,57,11
9/1/2023 10:30,8,56,12
9/1/2023 10:45,9,63,12
9/1/2023 11:00,9,70,12
9/1/2023 11:15,9,73,13
9/1/2023 11:30,9,73,13
9/1/2023 11:45,8,82,12
9/1/2023 12:00,9,87,13
9/1/2023 12:15,10,73,14
9/1/2023 12:30,9,69,13
9/1/2023 12:45,11,74,14
9/1/2023 13:00,10,76,14
9/1/2023 13:15,11,78,15
9/1/2023 13:30,11,78,14
9/1/2023 13:45,10,78,15
9/1/2023 14:00,10,85,14
9/1/2023 14:15,10,86,13
9/1/2023 14:30,10,83,13
9/1/2023 14:45,10,85,14
9/1/2023 15:00,10,89,13
9/1/2023 15:15,10,88,13
9/1/2023 15:30,10,91,13
9/1/2023 15:45,10,95,12
9/1/2023 16:00,10,96,13
9/1/2023 16:15,10,93,13
9/1/2023 16:30,9,92,12
9/1/2023 16:45,9,90,13
9/1/2023 17:00,10,90,13
9/1/2023 17:15,10,92,13
9/1/2023 17:30,9,91,14
9/1/2023 17:45,10,87,13
9/1/2023 18:00,10,87,13
9/1/2023 18:15,10,86,13
9/1/2023 18:30,9,84,12
9/1/2023 18:45,9,87,13
9/1/2023 19:00,8,90,11
9/1/2023 19:15,8,91,11
9/1/2023 19:30,8,94,11
9/1/2023 19:45,8,94,11
9/1/2023 20:00,8,93,11
9/1/2023 20:15,7,92,10
9/1/2023 20:30,7,91,9
9/1/2023 20:45,7,94,10
9/1/2023 21:00,8,104,12
9/1/2023 21:15,8,105,11
9/1/2023 21:30,7,108,10
9/1/2023 21:45,7,114,10
9/1/2023 22:00,7,115,10
9/1/2023 22:15,7,119,9
9/1/2023 22:30,7,122,9
9/1/2023 22:45,8,124,11
9/1/2023 23:00,9,119,12
9/1/2023 23:15,8,121,11
9/1/2023 23:30,8,122,12
9/1/2023 23:45,9,121,13
9/2/2023 0:00,9,125,12
9/2/2023 0:15,9,134,11
9/2/2023 0:30,8,140,11
9/2/2023 0:45,7,144,10
9/2/2023 1:00,8,144,11
9/2/2023 1:15,8,144,11
9/2/2023 1:30,8,146,10
9/2/2023 1:45,8,146,11
9/2/2023 2:00,8,145,10
9/2/2023 2:15,7,146,9
9/2/2023 2:30,8,145,11
9/2/2023 2:45,8,145,10
9/2/2023 3:00,8,144,10
9/2/2023 3:15,8,144,10
9/2/2023 3:30,7,149,8
9/2/2023 3:45,7,147,10
9/2/2023 4:00,8,148,11
9/2/2023 4:15,8,151,12
9/2/2023 4:30,9,147,12
9/2/2023 4:45,9,149,12
9/2/2023 5:00,9,153,12
9/2/2023 5:15,8,153,11
9/2/2023 5:30,9,150,12
9/2/2023 5:45,9,156,13
9/2/2023 6:00,11,159,13
9/2/2023 6:15,11,162,14
9/2/2023 6:30,11,162,14
9/2/2023 6:45,10,169,14
9/2/2023 7:00,11,172,15
9/2/2023 7:15,12,174,18
9/2/2023 7:30,12,174,16
9/2/2023 7:45,12,173,16
9/2/2023 8:00,11,174,15
9/2/2023 8:15,11,180,16
9/2/2023 8:30,12,173,16
9/2/2023 8:45,12,166,15
9/2/2023 9:00,11,176,15
9/2/2023 9:15,12,176,16
9/2/2023 9:30,12,178,16
9/2/2023 9:45,12,181,17
9/2/2023 10:00,12,183,16
9/2/2023 10:15,11,187,16
9/2/2023 10:30,10,179,13
9/2/2023 10:45,10,168,13
9/2/2023 11:00,8,157,12
9/2/2023 11:15,9,160,12
9/2/2023 11:30,11,175,14
9/2/2023 11:45,10,174,15
9/2/2023 12:00,11,173,14
9/2/2023 12:15,10,178,14
9/2/2023 12:30,10,179,13
9/2/2023 12:45,9,168,13
9/2/2023 13:00,8,166,11
9/2/2023 13:15,8,171,11
9/2/2023 13:30,9,179,13
9/2/2023 13:45,9,178,13
9/2/2023 14:00,9,185,12
9/2/2023 14:15,9,186,12
9/2/2023 14:30,9,177,13
9/2/2023 14:45,10,170,13
9/2/2023 15:00,9,167,12
9/2/2023 15:15,8,168,11
9/2/2023 15:30,8,185,12
9/2/2023 15:45,8,192,11
9/2/2023 16:00,8,198,11
9/2/2023 16:15,7,198,10
9/2/2023 16:30,7,209,9
9/2/2023 16:45,6,200,9
9/2/2023 17:00,6,200,8
9/2/2023 17:15,5,193,7
9/2/2023 17:30,4,187,6
9/2/2023 17:45,3,199,5
9/2/2023 18:00,3,175,4
9/2/2023 18:15,4,172,5
9/2/2023 18:30,4,176,5
9/2/2023 18:45,4,189,6
9/2/2023 19:00,4,182,6
9/2/2023 19:15,4,176,6
9/2/2023 19:30,5,172,7
9/2/2023 19:45,5,182,6
9/2/2023 20:00,6,185,8
9/2/2023 20:15,6,210,8
9/2/2023 20:30,5,225,7
9/2/2023 20:45,5,257,8
9/2/2023 21:00,5,265,10
9/2/2023 21:15,5,262,8
9/2/2023 21:30,6,244,12
9/2/2023 21:45,8,233,13
9/2/2023 22:00,9,240,15
9/2/2023 22:15,7,227,11
9/2/2023 22:30,6,232,9
9/2/2023 22:45,6,210,8
9/2/2023 23:00,8,214,13
9/2/2023 23:15,7,221,11
9/2/2023 23:30,7,211,12
9/2/2023 23:45,10,226,16
9/3/2023 0:00,10,224,14
9/3/2023 0:15,9,224,13
9/3/2023 0:30,9,214,14
9/3/2023 0:45,9,208,13
9/3/2023 1:00,9,218,12
9/3/2023 1:15,9,228,14
9/3/2023 1:30,11,238,18
9/3/2023 1:45,10,249,16
9/3/2023 2:00,9,243,13
9/3/2023 2:15,9,235,13
9/3/2023 2:30,9,232,12
9/3/2023 2:45,8,236,11
9/3/2023 3:00,7,236,12
9/3/2023 3:15,6,229,8
9/3/2023 3:30,6,226,8
9/3/2023 3:45,7,227,10
9/3/2023 4:00,7,231,10
9/3/2023 4:15,8,228,12
9/3/2023 4:30,9,233,13
9/3/2023 4:45,8,228,12
9/3/2023 5:00,9,222,13
9/3/2023 5:15,9,224,13
9/3/2023 5:30,8,225,12
9/3/2023 5:45,8,228,11
9/3/2023 6:00,8,221,12
9/3/2023 6:15,9,221,13
9/3/2023 6:30,9,218,12
9/3/2023 6:45,9,212,14
9/3/2023 7:00,9,209,12
9/3/2023 7:15,9,208,13
9/3/2023 7:30,9,205,13
9/3/2023 7:45,10,207,15
9/3/2023 8:00,10,208,14
9/3/2023 8:15,10,203,14
9/3/2023 8:30,10,199,15
9/3/2023 8:45,11,204,15
9/3/2023 9:00,11,209,15
9/3/2023 9:15,10,203,13
9/3/2023 9:30,10,201,13
9/3/2023 9:45,10,203,15
9/3/2023 10:00,11,207,15
9/3/2023 10:15,10,208,15
9/3/2023 10:30,10,221,16
9/3/2023 10:45,11,236,15
9/3/2023 11:00,9,240,14
9/3/2023 11:15,9,247,13
9/3/2023 11:30,9,238,15
9/3/2023 11:45,11,240,17
9/3/2023 12:00,13,247,18
9/3/2023 12:15,17,255,28
